strategy,capital,final,tot_ret,mdd,calmar,avg_cash_pct,avg_zero_alloc,avg_held,fee
TRD_K20_ADV5M,20000,39591.556000000026,97.95778000000013,-20.960671793595303,4.673408417660158,7.692472431811016,0.0,20.0,310.944
TRD_K20_ADV5M,30000,59936.5321,99.78844033333331,-21.428713110919233,4.656763092436243,4.7327002841988595,0.0,20.0,483.26789999999994
TRD_K20_ADV5M,50000,100596.85240000006,101.19370480000013,-21.60885519548194,4.682973895866454,2.5792972002990564,0.0,20.0,826.0476
TRD_K20_ADV5M,100000,202540.90520000004,102.54090520000005,-21.68097610244362,4.729533611193957,1.6612071579568954,0.0,20.0,1666.7948000000001
TRD_K20_ADV5M,200000,406532.4995000002,103.2662497500001,-21.775709142454613,4.742268050810292,0.7084294016518976,0.0,20.0,3377.5005000000006
ADAPT_K20_ADV5M,10000,16214.593800000013,62.14593800000012,-14.35474014596274,4.329297316989651,7.835239042231791,0.2222222222222222,19.77777777777778,191.60620000000003
ADAPT_K20_ADV5M,20000,32969.08670000002,64.84543350000011,-14.750219430089425,4.396235175167627,4.327882072131767,0.2222222222222222,19.77777777777778,402.4133
ADAPT_K20_ADV5M,30000,49655.72180000002,65.51907266666674,-14.993473581701751,4.369839471130103,3.2527313401681783,0.2222222222222222,19.77777777777778,611.0782
ADAPT_K20_ADV5M,50000,82923.63600000007,65.84727200000013,-15.034285853690573,4.3798071049604355,2.516283487703746,0.2222222222222222,19.77777777777778,1028.664
ADAPT_K20_ADV5M,100000,166333.53630000012,66.33353630000012,-15.155698958817684,4.376804823073293,1.7139825374091124,0.2222222222222222,19.77777777777778,2077.7637
ADAPT_K20_ADV5M,200000,333154.7236000003,66.57736180000016,-15.184974408783722,4.384423707786337,0.5488398652177271,0.0,20.0,4216.2764
TRD_K30_ADV5M,10000,18571.4549,85.71454899999999,-18.64934424566942,4.59611597442113,25.02410401575905,3.888888888888889,26.22222222222222,109.0451
TRD_K30_ADV5M,20000,40986.674200000045,104.93337100000022,-19.916824625978162,5.268579352912121,8.467922802205415,0.2222222222222222,29.88888888888889,273.6258
TRD_K30_ADV5M,30000,63119.64850000004,110.39882833333348,-20.148381090681617,5.479290263394492,7.277405289626482,0.2222222222222222,29.88888888888889,417.8515
TRD_K30_ADV5M,50000,106442.40840000003,112.88481680000007,-20.518766569422358,5.501540086148462,4.7311210482320645,0.2222222222222222,29.88888888888889,714.5916000000001
TRD_K30_ADV5M,100000,214504.51199999996,114.50451199999998,-20.76392883980954,5.514587960851935,2.92299983258271,0.2222222222222222,29.88888888888889,1466.1879999999999
TRD_K30_ADV5M,200000,432251.0159000002,116.1255079500001,-20.880126046557553,5.561532899325834,1.5937677218960016,0.2222222222222222,29.77777777777778,2979.1841000000004
ADAPT_K30_ADV5M,10000,16562.07100000001,65.62071000000012,-12.888713707340644,5.091331182461324,13.785490094584585,1.3333333333333333,28.77777777777778,174.329
ADAPT_K30_ADV5M,20000,34201.710699999996,71.00855349999998,-13.730004127512426,5.171779472208007,6.513670565771187,0.4444444444444444,29.666666666666668,386.5892999999999
ADAPT_K30_ADV5M,30000,51660.021200000025,72.20007066666673,-13.843669652194663,5.215385261322002,4.446876163065039,0.4444444444444444,29.666666666666668,594.8788000000001
ADAPT_K30_ADV5M,50000,86540.74330000012,73.08148660000025,-13.998623385158401,5.220619527308848,3.5649942303988422,0.4444444444444444,29.666666666666668,1005.6567
ADAPT_K30_ADV5M,100000,174029.8676000003,74.0298676000003,-14.08601453514105,5.255558086733084,2.290524178580177,0.4444444444444444,29.555555555555557,2043.0324
ADAPT_K30_ADV5M,200000,348725.8933000005,74.36294665000025,-14.15259748235586,5.254367386814261,1.8578030433428978,0.4444444444444444,29.555555555555557,4109.606699999999
MARKET_ADV20M,10000,12582.201700000003,25.82201700000004,-8.672580265055327,2.9774318842623373,71.15266131748983,106.11111111111111,43.22222222222222,21.898300000000003
MARKET_ADV20M,20000,29803.216500000002,49.0160825,-10.711803531285092,4.575894466029247,37.6164844088303,38.44444444444444,110.88888888888889,75.2835
MARKET_ADV20M,30000,48367.34230000004,61.22447433333347,-11.67736001294341,5.243006489949019,24.998545271879394,13.333333333333334,136.0,118.1577
MARKET_ADV20M,50000,85200.49980000009,70.40099960000019,-12.276481680692202,5.734623439443823,16.21036409131328,8.222222222222221,141.11111111111111,223.7002
MARKET_ADV20M,100000,179300.97320000024,79.30097320000024,-12.844379867088056,6.173982241306799,7.760777695491195,2.7777777777777777,146.55555555555554,479.22679999999986
MARKET_ADV20M,200000,365098.9888000001,82.54949440000006,-13.113035449843071,6.295223917890648,4.115981227995032,0.5555555555555556,148.77777777777777,965.6111999999999
TRD_K10_ADV20M,10000,19617.57700000001,96.17577000000009,-22.089666283249358,4.353880623037315,6.715746676617143,0.0,10.0,171.323
TRD_K10_ADV20M,20000,39477.245900000016,97.38622950000008,-22.662269537513033,4.29728493603855,3.1744541926133003,0.0,10.0,358.4540999999999
TRD_K10_ADV20M,30000,59333.34950000003,97.77783166666678,-22.739103182422866,4.299986278361594,1.6906803183798549,0.0,10.0,547.6505
TRD_K10_ADV20M,50000,99359.51020000009,98.71902040000018,-22.822211176349132,4.3255677391287835,1.4867065229242726,0.0,10.0,915.0898
TRD_K10_ADV20M,100000,199105.10230000017,99.10510230000018,-22.929683510258698,4.322131278247288,0.5488901293924128,0.0,10.0,1851.9977
